2010-09-20 14:12:42 Debug: Notice (8): Undefined property: UsersController::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 36]
2010-09-20 14:12:42 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 36]
2010-09-20 14:14:24 Debug: Notice (8): Undefined index:   in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 26]
2010-09-20 14:15:24 Debug: Notice (8): Undefined index:   in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 26]
2010-09-20 14:16:34 Debug: Notice (8): Undefined index:   in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 26]
2010-09-20 14:18:10 Debug: Notice (8): Undefined index:   in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 28]
2010-09-20 14:51:14 Debug: Notice (8): Undefined property: UploadComponent::$fileNmae in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 42]
2010-09-20 14:52:20 Debug: Notice (8): Undefined property: UploadComponent::$fileNmae in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 42]
2010-09-20 15:37:12 Debug: Notice (8): Undefined property: UploadComponent::$params in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 32]
2010-09-20 15:37:12 Debug: Notice (8): Undefined property: UploadComponent::$params in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 33]
2010-09-20 15:37:12 Debug: Notice (8): Undefined variable: modelName in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 33]
2010-09-20 15:38:08 Debug: Notice (8): Undefined property: UploadComponent::$params in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 32]
2010-09-20 15:39:35 Debug: Notice (8): Undefined property: UploadComponent::$params in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 33]
2010-09-20 15:39:35 Debug: Notice (8): Undefined variable: modelName in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 33]
2010-09-20 15:40:08 Debug: Notice (8): Undefined variable: modelName in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 33]
2010-09-20 15:41:49 Debug: Notice (8): Undefined index:  aimage in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 40]
2010-09-20 15:43:09 Debug: Notice (8): Undefined variable: components in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 35]
2010-09-20 15:43:30 Debug: Notice (8): Undefined property: UsersController::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 36]
2010-09-20 15:44:07 Debug: Notice (8): Undefined property: UsersController::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 37]
2010-09-20 15:44:28 Debug: Notice (8): Undefined property: UsersController::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 37]
2010-09-20 15:44:39 Debug: Notice (8): Undefined property: UsersController::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 37]
2010-09-21 09:58:27 Debug: Notice (8): Undefined property: UploadComponent::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 282]
2010-09-21 09:58:27 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 282]
2010-09-21 09:58:27 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
2010-09-21 10:00:54 Debug: Notice (8): Undefined property: UploadComponent::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 282]
2010-09-21 10:00:54 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 282]
2010-09-21 10:00:54 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
2010-09-21 10:02:12 Debug: Notice (8): Undefined property: UploadComponent::$Session in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 277]
2010-09-21 10:04:29 Debug: Notice (8): Undefined property: UploadComponent::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 280]
2010-09-21 10:04:29 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 280]
2010-09-21 10:06:18 Debug: Notice (8): Array to string conversion in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\model\datasources\dbo_source.php, line 738]
2010-09-21 10:08:00 Debug: Notice (8): Undefined property: UploadComponent::$action in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 282]
2010-09-21 10:08:00 Debug: Notice (8): Undefined property: UploadComponent::$Component in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\controller\controller.php, line 682]
2010-09-21 10:15:13 Debug: Notice (8): Undefined property: UploadComponent::$Component in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\controller\controller.php, line 682]
2010-09-21 10:18:14 Debug: Notice (8): Undefined property: UploadComponent::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
2010-09-21 10:18:14 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
2010-09-21 10:18:47 Debug: Notice (8): Undefined property: UploadComponent::$Upload in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
2010-09-21 10:18:47 Debug: Notice (8): Trying to get property of non-object in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\components\upload.php, line 281]
